configName      Platooning
iniFile         omnetpp.ini
processID       3871
runID           Platooning-0-20191231-13:24:17-3871
totalRun        1
currentRun      0
currentConfig   Platooning
sim timeStep    100 ms
startDateTime   2019-12-31 13:24:17.716
endDateTime     2019-12-31 13:24:33.716
duration        0 hour, 0 minute, 15 second


index          timestamp      vehId          pltMode        pltId          pltDepth       pltSize        pltOptSize     pltMaxSize     
37             1.30           veh1.5         3              veh1.4         1              -              -              -              

38             1.40           veh            3              veh            0              3              4              10             
38             1.40           veh.1          3              veh            1              -              -              -              
38             1.40           veh.2          3              veh            2              -              -              -              

39             1.40           veh1           3              veh1           0              4              4              10             
39             1.40           veh1.1         3              veh1           1              -              -              -              
39             1.40           veh1.2         3              veh1           2              -              -              -              
39             1.40           veh1.3         3              veh1           3              -              -              -              

40             1.40           veh1.4         3              veh1.4         0              2              4              10             
40             1.40           veh1.5         3              veh1.4         1              -              -              -              

41             1.50           veh            3              veh            0              3              4              10             
41             1.50           veh.1          3              veh            1              -              -              -              
41             1.50           veh.2          3              veh            2              -              -              -              

42             1.50           veh1           3              veh1           0              4              4              10             
42             1.50           veh1.1         3              veh1           1              -              -              -              
42             1.50           veh1.2         3              veh1           2              -              -              -              
42             1.50           veh1.3         3              veh1           3              -              -              -              

43             1.50           veh1.4         3              veh1.4         0              2              4              10             
43             1.50           veh1.5         3              veh1.4         1              -              -              -              

44             1.60           veh            3              veh            0              3              4              10             
44             1.60           veh.1          3              veh            1              -              -              -              
44             1.60           veh.2          3              veh            2              -              -              -              

45             1.60           veh1           3              veh1           0              4              4              10             
45             1.60           veh1.1         3              veh1           1              -              -              -              
45             1.60           veh1.2         3              veh1           2              -              -              -              
45             1.60           veh1.3         3              veh1           3              -              -              -              

46             1.60           veh1.4         3              veh1.4         0              2              4              10             
46             1.60           veh1.5         3              veh1.4         1              -              -              -              

47             1.70           veh            3              veh            0              3              4              10             
47             1.70           veh.1          3              veh            1              -              -              -              
47             1.70           veh.2          3              veh            2              -              -              -              

48             1.70           veh1           3              veh1           0              4              4              10             
48             1.70           veh1.1         3              veh1           1              -              -              -              
48             1.70           veh1.2         3              veh1           2              -              -              -              
